ProductId,SkuId,EAN,Brand,Category,Imageurl1,Imageurl2,Imageurl3,Imageurl4,Imageurl5,StockQuantity,StockStatus,Title,Description,NormalPriceWithoutVAT,VATRate,AttributeColor,Currency,PackageWeight,Manufacturer
AZSLISAU10BK,AZSLISAU10BK,842893109398,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/AZSLISAU10BK(1).jpg,https://pyleaudio.com/1000/AZSLISAU10BK(2).jpg,https://pyleaudio.com/1000/AZSLISAU10BK(3).jpg,https://pyleaudio.com/1000/AZSLISAU10BK(4).jpg,https://pyleaudio.com/1000/AZSLISAU10BK(5).jpg,0,OUTOFSTOCK,Compact & Portable Infrared Sauna,<p><strong>Features:</strong></p><ul> <li>Easy Access Sit-in Sauna Design <li>Compact Size Perfect for At-Home Use <li>Detoxifying and Soothing Body Therapy <li>Includes a Foldable Chair for Comfortable Seating <li>Energy & Power Efficient Design for Low-Cost Heating Sauna <li>Convenient Hand Access Zippers for Book/Magazine Reading <li>Wired Controller for Timer & Auto Heat Setting <li>Also Includes Foot Pad Heating Mat <li>Used for Personal Health Care Detox Stress & Fatigue Reduction  <br> <br> </ul><p><strong>Technical Specs:</strong></p><ul> <li>Heating Element Power Output: 1050 Watt <li>Reaches Maximum Temperature of 140 Degrees Fahrenheit <li>Time Setting: Up to 60 Minutes <li>Power: 120V <li>Assembled Tent Dimensions (L x W x H): 27.6 x 31.5 x 37.8 </ul>,187.99,21,Black,EUR,9070,Sound Around Inc
SLISAU10GRY,SLISAU10GRY,842893116198,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU10GRY(1).jpg,https://pyleaudio.com/1000/SLISAU10GRY(2).jpg,https://pyleaudio.com/1000/SLISAU10GRY(3).jpg,https://pyleaudio.com/1000/SLISAU10GRY(4).jpg,https://pyleaudio.com/1000/SLISAU10GRY(5).jpg,0,OUTOFSTOCK,Portable Infrared Home Spa | One Person Sauna for Detox & Weight Loss,<p><strong>Features:</strong></p><ul> <li>Easy Access Sit-in Sauna Design <li>Compact Size Perfect for At-Home Use <li>Detoxifying and Soothing Body Therapy <li>Includes a Foldable Chair for Comfortable Seating <li>Energy & Power Efficient Design for Low-Cost Heating Sauna <li>Convenient Hand Access Zippers for Book/Magazine Reading <li>Wired Controller for Timer & Auto Heat Setting <li>Also Includes Foot Pad Heating Mat <li>Used for Personal Health Care Detox Stress & Fatigue Reduction </ul><p><strong>Whats in the Box:</strong></p><ul> <li>Sauna Box (requires assembly) <li>Folding Chair <li>Foam Floor Cushion </ul><p><strong>Technical Specs:</strong></p><ul> <li>Heating Element Power Output: 1050 Watt <li>Reaches Maximum Temperature of 140 Degrees Fahrenheit <li>Time Setting: Up to 60 Minutes <li>Power: 120V <li>Assembled Tent Dimensions (L x W x H): 27.6 x 31.5 x 37.8 </ul><h5>Whats In The Box</h5><li>Sauna Box (requires assembly) <li>Folding Chair <li>Foam Floor Cushion,193.99,21,GRAY,EUR,8934,Sound Around Inc
SLISAU10SL,SLISAU10SL,68888776486,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU10SL(1).jpg,https://pyleaudio.com/1000/SLISAU10SL(2).jpg,https://pyleaudio.com/1000/SLISAU10SL(3).jpg,https://pyleaudio.com/1000/SLISAU10SL(4).jpg,https://pyleaudio.com/1000/SLISAU10SL(5).jpg,0,OUTOFSTOCK,Compact & Portable Infrared Sauna,The SereneLife Compact & Portable Infrared Sauna - Easy Access Sit-in Sauna Design - Compact Size Perfect for At-Home Use - Detoxifying and Soothing Body Therapy - Includes a Foldable Chair for Comfortable Seating - Energy & Power Efficient Design for Low-Cost Heating Sauna - Convenient Hand Access Zippers for Book/Magazine Reading - Wired Controller for Timer & Auto Heat Setting - Also Includes Foot Pad Heating Mat - Used for Personal Health Care Detox Stress & Fatigue Reduction  - Technical Specs: - Heating Element Power Output: 1050 Watt - Reaches Maximum Temperature of 140 Degrees Fahrenheit - Time Setting: Up to 60 Minutes - Power: 120V - Assembled Tent Dimensions (L x W x H): 27.6 x 31.5 x 37.8.<p><strong>Features:</strong></p><ul> <li>Easy Access Sit-in Sauna Design <li>Compact Size Perfect for At-Home Use <li>Detoxifying and Soothing Body Therapy <li>Includes a Foldable Chair for Comfortable Seating <li>Energy & Power Efficient Design for Low-Cost Heating Sauna <li>Convenient Hand Access Zippers for Book/Magazine Reading <li>Wired Controller for Timer & Auto Heat Setting <li>Also Includes Foot Pad Heating Mat <li>Used for Personal Health Care Detox Stress & Fatigue Reduction  <br> <br> </ul><p><strong>Technical Specs:</strong></p><ul> <li>Heating Element Power Output: 1050 Watt <li>Reaches Maximum Temperature of 140 Degrees Fahrenheit <li>Time Setting: Up to 60 Minutes <li>Power: 120V <li>Assembled Tent Dimensions (L x W x H): 27.6 x 31.5 x 37.8 </ul><h5>Whats In The Box</h5><li>Compact & Portable Infrared Sauna,187.99,21,Silver,EUR,9138,Sound Around Inc
SLISAU20BK,SLISAU20BK,842893117669,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU20BK(1).jpg,https://pyleaudio.com/1000/SLISAU20BK(2).jpg,https://pyleaudio.com/1000/SLISAU20BK(3).jpg,https://pyleaudio.com/1000/SLISAU20BK(4).jpg,https://pyleaudio.com/1000/SLISAU20BK(5).jpg,25,INSTOCK,Compact & Portable Sauna - Personal In-Home Detox Spa Steam Therapy Heated Sauna,<p><strong>Features:</strong></p><ul> <li>Easy Access Sit-in Steam Sauna Design <li>Compact Spa Size Perfect for At-Home Use <li>Detoxifying & Soothing Infrared Heated Body Therapy <li>Portable Personal Home Sauna Style <li>Includes Folding Chair for Comfortable Seating <li>Energy & Power Efficient Design Low-Cost Heating Sauna <li>Convenient Hand Access Zippers for Book/Magazine Reading <li>Wired Controller for Timer & Auto Heat Setting <li>Integrated Foot Pad Heating Mat <li>Used for Personal Health Care Detox Stress & Fatigue Reduction </ul><p><strong>Whats in the Box:</strong></p><ul> <li>Home Sauna Tent <li>Foldable Chair <li>Heated Foot Pad </ul><p><strong>Technical Specs:</strong></p><ul> <li>Power Output: 1050 Watt <li>Steam Sauna Heating Element: Carbon Fiber Heating Panels <li>Maximum Temperature Reached: 140° Fahrenheit (60° Celsius) <li>Time Setting: Up to 60 Minutes <li>Power Cord Length: 5.3 ft <li>Power Supply: 120V <li>Total Assembled Sauna Size (L x W x H): 40.0 x 33.0 x 31.4 - inches</ul><h5>Whats In The Box</h5><li>Home Sauna Tent <li>Foldable Chair <li>Heated Foot Pad,197.99,21,Black,EUR,9887,Sound Around Inc
SLISAU30BK,SLISAU30BK,842893117683,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU30BK(1).jpg,https://pyleaudio.com/1000/SLISAU30BK(2).jpg,https://pyleaudio.com/1000/SLISAU30BK(3).jpg,https://pyleaudio.com/1000/SLISAU30BK(4).jpg,https://pyleaudio.com/1000/SLISAU30BK(5).jpg,0,OUTOFSTOCK,"Compact & Portable Sauna System - Deluxe Personal Therapy Detox Heated Home Sauna, Infrared Sauna",<ul><li>EASY ACCESS: The personal sauna portable steam sauna spa features easy access sit-in sauna design and convenient hand access zippers so you can use your phone / read a book/magazine. Comes w/ everything you need to get your sauna on in your home</li><li>COLLAPSIBLE DESIGN: This single person sauna kit indoor steam sauna has a compact assembled size of (LxWxH) 35.4x35.4x70.9 and conveniently folds away so you can have a mobile spa and you can easily move your sauna dome from one room to another</li><li>ENERGY EFFICIENT: Serene life portable infrared sauna steamer box tent has 1300 watt high power heating element and can reach a max temp of 140°F/60°C in no time making it highly power efficient. Comes w/ wired controller for timer/auto heat setting</li><li>DETOXIFY AND RELAX: Use this portable sauna steamer machine home sauna for weight loss detoxing and stress/fatigue relief. The heat that radiates from the sauna and heated foot mat soothes achy muscles helps prevent fatigue detoxes the system</li><li>INCLUDES SAUNA CHAIR: This personal infrared body steamer sauna comes w/ a heated and a comfortable/foldable sauna chair that can be easily assembled/disassembled unlike other detox saunas</li></ul><!-- TABS --> <!--Details--><h5>DETAILS</h5><p><strong>Features:</strong></p><ul><li>Compact Spa Size Perfect for In-Home Use</li><li>Detoxifying &amp; Soothing Infrared Heated Body Therapy</li><li>Portable Personal Home Sauna Style</li><li>High-Powered Heating Element</li><li>Includes Foldable Chair for Comfortable Seating</li><li>Energy &amp; Power Efficient Design Low-cost Heating Sauna</li><li>Convenient Hand Access Zippers for Book/Magazine Reading</li><li>Wired Controller For Timer &amp; Auto Heat Setting</li><li>Integrated Foot Pad Heating Mat</li><li>Used For Personal Health Detox Weight Loss Fatigue &amp; Stress Relief&nbsp;</li></ul><p>&nbsp;</p><p><strong>Whats In the Box:</strong></p><ul><li>Home Sauna Tent</li><li>Foldable Chair</li><li>Heated Foot Pad&nbsp;</li></ul><p>&nbsp;</p><p><strong>Technical Specs:</strong></p><ul><li>Power Output: 1300 Watt</li><li>Steam Sauna Heating Element: Carbon Fiber Heating Panels</li><li>Maximum Temperature Reached: 140° Fahrenheit (60° Celsius)</li><li>Adjustable Time Setting: Up To 60 Minutes</li><li>Construction Materials: Oxford Fabric Aluminium Insulated Film Metal Alloy Frame</li><li>Power Cord Length: 5.3 ft.</li><li>Power Supply: 120V</li><li>Total Assembled Sauna Size (L x W x H): 35.4 x 35.4 x 70.9 -inches</li></ul></ul><h5>Whats In The Box</h5><li>Home Sauna Tent <li>Foldable Chair <li>Heated Foot Pad,343.99,21,Black,EUR,16803,Sound Around Inc
SLISAU35BK,SLISAU35BK,842893121048,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU35BK.jpg,https://pyleaudio.com/1000/SLISAU35BK(2).jpg,https://pyleaudio.com/1000/SLISAU35BK(3).jpg,https://pyleaudio.com/1000/SLISAU35BK(4).jpg,https://pyleaudio.com/1000/SLISAU35BK(5).jpg,0,OUTOFSTOCK,Portable Steam Home Sauna - Personal In-Home Detox Spa Steam Therapy Heated Sauna,<p><strong>Features:</strong></p><ul> <li>Easy Access Sit-in Steam Sauna Design <li>Compact Spa Size Perfect For At-home Use <li>Portable Personal Home Sauna Style <li>Includes A Foldable Chair For Comfortable Seating <li>Energy & Power-Efficient Design Low-cost Heating Sauna <li>Used For Personal Health Care Detox Stress & Fatigue Reduction <li>Provides Comfort Relaxation & Enjoyment </ul><p><strong>Whats in the Box:</strong></p><ul> <li>Home Sauna Tent <li>Detachable frame <li>Foldable Chair <li>4L Steamer + Remote + Pipe <li>Sponge Cushion </ul><p><strong>Technical Specs:</strong></p><ul> <li>Power Output: 1600 Watt <li>Maximum Temperature Reached: 122° Fahrenheit (50° Celsius) <li>Adjustable Time Setting: Up To 60 Minutes <li>Level choose: 9 levels <li>Power Supply: 120V <li>Product Dimension (L x W x H): 35.43 x 35.43 x 70.87 -inches</ul><h5>Whats In The Box</h5><li>Home Sauna Tent <li>Detachable frame <li>Foldable Chair <li>4L Steamer + Remote + Pipe <li>Sponge Cushion,192.99,21,Black,EUR,13406,Sound Around Inc
SLISAU40BK,SLISAU40BK,842893148786,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU40BK(1).jpg,https://pyleaudio.com/1000/SLISAU40BK(2).jpg,https://pyleaudio.com/1000/SLISAU40BK(3).jpg,https://pyleaudio.com/1000/SLISAU40BK(4).jpg,https://pyleaudio.com/1000/SLISAU40BK(5).jpg,0,OUTOFSTOCK,Portable Steam Sauna- One Person Sauna for Detox & Weight Loss (Black),</h5><p><strong>Features:&nbsp;</strong></p><ul><li>Easy Access Sit-in Sauna Design</li><li>Compact Size Perfect for At-Home Use</li><li>Detoxifying and Soothing Body Therapy</li><li>Includes Two Foldable Chairs for Comfortable Seating</li><li>Energy &amp; Power-Efficient Design for Low-Cost Heating Sauna</li><li>Used for Personal Health Care Detox Stress &amp; Fatigue Reduction</li><li>Provides Comfort Relaxation &amp; Enjoyment&nbsp;<br><br><strong>Whats in the Box:&nbsp;</strong></li><li>(1) Sauna Tent</li><li>(1) Metal Pipe Set (Requires Assembly)</li><li>(1) Two Folding Chairs</li><li>(1) Steam Pot</li><li>(1) Remote Control</li><li>(1) Hose&nbsp;<br><br><strong>Technical Specs:&nbsp;</strong></li><li>Power Output: 1600 Watt</li><li>Maximum Temperature Reached: 122° Fahrenheit (50° Celsius)</li><li>Time Setting: Up to 60 Minutes</li><li>Power: 120V</li><li>Remote Control Battery Operated Requires (2) x AA Batteries</li><li>Battery Type: 3V Lithium Metal Cell Battery 150mAh</li><li>Battery Life: Up to 2+ Hours</li><li>Assembled Tent Dimensions (L x W x H): 31.5 x 47.24 x 70.87 -inches</li></ul></ul><h5>Whats In The Box</h5><p><strong>Whats in the Box:&nbsp;</strong></p><ul><li>(1) Sauna Tent</li><li>(1) Metal Pipe Set (Requires Assembly)</li><li>(1) Two Folding Chairs</li><li>(1) Steam Pot</li><li>(1) Remote Control</li><li>(1) Hose</li></ul>,255.99,21,Black,EUR,14512,Sound Around Inc
SLISAU60BK,SLISAU60BK,842893147468,SereneLife,Home & Garden > Pool & Spa > Saunas,https://pyleaudio.com/1000/SLISAU60BK(1).jpg,https://pyleaudio.com/1000/SLISAU60BK(2).jpg,https://pyleaudio.com/1000/SLISAU60BK(3).jpg,https://pyleaudio.com/1000/SLISAU60BK(4).jpg,https://pyleaudio.com/1000/SLISAU60BK(5).jpg,0,OUTOFSTOCK,Portable Steam Sauna- One Person Sauna for Detox & Weight Loss (Black),<p><strong>Features: </strong></p><ul> <li>Easy Access Sit-in Sauna Design <li>Compact Size Perfect for At-Home Use <li>Detoxifying and Soothing Body Therapy <li>Includes a Foldable Chair for Comfortable Seating <li>Energy & Power-Efficient Design for Low-Cost Heating Sauna <li>Convenient Hand Access Zippers for Book/Magazine Reading <li>Wired Controller for Timer & Auto Heat Setting <li>Used for Personal Health Care Detox Stress & Fatigue Reduction </ul><p><strong>Whats in the Box: </strong></p><ul> <li> (1) Sauna Tent <li> (1) PVC pipe set (Requires Assembly) <li> (1) Folding Chair <li> (1) Steam Pot <li> (1) Remote control <li> (1) Hose </ul><p><strong>Technical Specs: </strong></p><ul> <li>Power Output: 900 Watt <li>Maximum Temperature Reached: 122° Fahrenheit (50° Celsius) <li>Time Setting: Up to 60 Minutes <li>Power: 120V <li>Remote Control Battery Operated Requires (2) x AA Batteries <li>Battery Type: 3V Lithium-ion 1500mAh <li>Battery Life: Up to 2+ Hours <li>Assembled Tent Dimensions (L x W x H): 33.9 x 28.7 x 40.5 -inches </ul><h5>Whats In The Box</h5><b>Whats in the Box: </b> <li> (1) Sauna Tent <li> (1) PVC pipe set (Requires Assembly) <li> (1) Folding Chair <li> (1) Steam Pot <li> (1) Remote control <li> (1) Hose,97.99,21,Black,EUR,7483,Sound Around Inc
SLBCAD105FL,SLBCAD105FL,842893159645,SereneLife,Home & Garden > Bathroom Accessories > Bath Caddies,https://i.imgur.com/EyZBmLt.jpeg,https://i.imgur.com/cBsjFyy.jpeg,https://i.imgur.com/PUFWXvf.jpeg,https://i.imgur.com/jliTwOV.jpeg,https://i.imgur.com/iufa98l.jpeg,0,OUTOFSTOCK,"Foldable Caddy Tray with Silicone Sides - Expandable Bamboo Bathtub Tray, with Food, Phone, Cup, Wine Glass, Candle, and Tablet Slot Holder (Brown)",<p><strong>Features:</strong></p><ul> <li>Adjustable to Bathtub <li>Lacquer Coated for Long-Lasting Protection <li>Expandable and Slip Resistant Silicone Grip <li>Prevent Tub Caddy from Sliding <li>Made from 100% Quality Bamboo <li>Waterproof and Sturdy <li>Featured with Food Phone Cup Wine Glass Candle and Tablet Slot Holder <li>Durable and High-Quality <li>Offers Generous Space and Compartments <li>Lightweight and Easy to Use <li>Foldable Bathtub Caddy Tray with Silicone Sides <li>Adjustable Design Allows for a Custom Fit on a Variety of Bathtub Sizes and Shapes </ul><p><strong>Whats in the Box:</strong></p><ul> <li> (1) Movable Book Stand <li>Bamboo Bathtub Caddy </ul><p><strong>Technical Specs:</strong></p><ul> <li>Construction Materials: Bamboo Wood <li>Item Weight: 4.76 lbs. <li>Bamboo Bathtub Caddy Closed Size (L x W x H): 27.5 x 8.7 x 1.6 -inches <li>Bamboo Bathtub Caddy Open / Standing Size (L x W x H): 41.33 x 8.7 x 1.6 -inches <li>Total Folded Size (L x W x H):13.8 x 8.7 x 3.2 -inches</ul><h5>Whats In The Box</h5><b>Whats in the Box:</b> <li> (1) Movable Book Stand <li>Bamboo Bathtub Caddy,25.99,21,Black,EUR,2281,Sound Around Inc
SLBCAD29B,SLBCAD29B,842893149967,SereneLife,Home & Garden > Bathroom Accessories > Bath Caddies,https://pyleaudio.com/1000/SLBCAD29B.jpg,https://pyleaudio.com/1000/SLBCAD29B(2).jpg,https://pyleaudio.com/1000/SLBCAD29B(3).jpg,https://pyleaudio.com/1000/SLBCAD29B(4).jpg,https://pyleaudio.com/1000/SLBCAD29B(5).jpg,231,INSTOCK,Natural Bamboo Bathtub Caddy - Shower Tub Caddy Tray with Adjustable Length and Soap Box (Brown),<p><strong> Features: </strong></p><ul> <li> Elegant Bathtub Caddy Comfort <li> 100% All-Natural Bamboo Shelf Construction <li> Naturally Waterproof Mold & Mildew-Resistant Design <li> Extendable Adjustable Length with Slide-out Arms <li> Cut-out Grooves for Wine Glass & Candle Placement <li> Ergonomically Designed with Integrated Device Holder <li> Holds Smartphone iPad Tablet Books Magazines <li> Removable Trays for Bath Accessories <li> Brown Lacquer Coated for Long-Lasting Protection <li> Doubles as Laptop Tray/Bed Tray </ul><p><strong> Whats in the Box: </strong></p><ul> <li> Bamboo Bathtub Caddy <li> Bamboo Soap Box <li> Red Ribbon </ul><p><strong> Technical Specs: </strong></p><ul> <li> Construction Material: Bamboo Wood <li> *No Assembly Required <li> Total Closed / Folded Size (L x W x H): 27.5 x 8.7 x 1.6 -inches <li> Total Open / Standing Size (L x W x H): 40.8 x 8.7 x 1.6 -inches</ul><h5>Whats In The Box</h5><b> Whats in the Box: </b> <li> Bamboo Bathtub Caddy <li> Bamboo Soap Box <li> Red Ribbon,30.99,21,Brown,EUR,2449,Sound Around Inc
